unix_time,datetime,temp_c,arm_clock_hz,throttled
1785057419,2026-07-26 17:16:59,48.7,600169920,0x80000
1785057421,2026-07-26 17:17:01,48.7,600117184,0x80000
1785057423,2026-07-26 17:17:03,49.1,600169920,0x80000
1785057425,2026-07-26 17:17:05,49.1,600117184,0x80000
1785057427,2026-07-26 17:17:07,49.1,1800404352,0x80000
1785057429,2026-07-26 17:17:09,49.1,1800457088,0x80000
1785057431,2026-07-26 17:17:11,48.7,600169920,0x80000
1785057433,2026-07-26 17:17:13,49.1,1800404352,0x80000
1785057435,2026-07-26 17:17:15,49.1,1800457088,0x80000
1785057437,2026-07-26 17:17:17,48.7,600117184,0x80000
1785057439,2026-07-26 17:17:19,49.6,700207040,0x80000
1785057441,2026-07-26 17:17:21,50.1,1800457088,0x80000
1785057443,2026-07-26 17:17:23,48.7,1800457088,0x80000
